grade;standard;manufacturer;country;source
N06625;UNS, США;;США;csv:Спец сплавы.csv
2.4856;EN, Европа;;Европа;csv:Спец сплавы.csv
INCONEL alloy 718;;;;csv:Спец сплавы.csv
N07718;UNS, США;;США;csv:Спец сплавы.csv
2.4668;EN, Европа;;Европа;csv:Спец сплавы.csv
INCOLOY alloy 800;;;;csv:Спец сплавы.csv
N08800;UNS, США;;США;csv:Спец сплавы.csv
1.4876;EN, Европа;;Европа;csv:Спец сплавы.csv
"Alloy 800 HT
Sanicro® 31HT";;;;csv:Спец сплавы.csv
N08811;UNS, США;;США;csv:Спец сплавы.csv
INCOLOY alloy 825;;;;csv:Спец сплавы.csv
N08825;UNS, США;;США;csv:Спец сплавы.csv
INCOLOY alloy 904;;;;csv:Спец сплавы.csv
INCOLOY alloy DS;;;;csv:Спец сплавы.csv
Hastalloy B;;;;csv:Спец сплавы.csv
N10001;UNS, США;;США;csv:Спец сплавы.csv
Hastalloy C;;;;csv:Спец сплавы.csv
N10276*;UNS, США;;США;csv:Спец сплавы.csv
Hastalloy G;;;;csv:Спец сплавы.csv
N06007;UNS, США;;США;csv:Спец сплавы.csv
2.4618;EN, Европа;;Европа;csv:Спец сплавы.csv
Nimonic® 75;;;;csv:Спец сплавы.csv
N06075;UNS, США;;США;csv:Спец сплавы.csv
2.4631;EN, Европа;;Европа;csv:Спец сплавы.csv
Nimonic® 80A;;;;csv:Спец сплавы.csv
N07080;UNS, США;;США;csv:Спец сплавы.csv
2.4632;EN, Европа;;Европа;csv:Спец сплавы.csv
Nimonic® 90;;;;csv:Спец сплавы.csv
N07090;UNS, США;;США;csv:Спец сплавы.csv
"2.4969
2.4632";EN, Европа;;Европа;csv:Спец сплавы.csv
Nitronic® 50;;;;csv:Спец сплавы.csv
S20910;UNS, США;;США;csv:Спец сплавы.csv
1.3964;EN, Европа;;Европа;csv:Спец сплавы.csv
P550;;;;csv:Спец сплавы.csv
1.3813;EN, Европа;;Европа;csv:Спец сплавы.csv
P500;;;;csv:Спец сплавы.csv
1.4565;EN, Европа;;Европа;csv:Спец сплавы.csv
AMAGNIT 3890 mod;;;;csv:Спец сплавы.csv
X 3 MnCrNiMoN 20 13;;;;csv:Спец сплавы.csv
TWZ-3HS (P550);;;;csv:Спец сплавы.csv
405;AISI, США;;США;csv:Ферритные стали.csv
S40500;UNS, США;;США;csv:Ферритные стали.csv
1.4002;EN, Европа;;Европа;csv:Ферритные стали.csv
409;AISI, США;;США;csv:Ферритные стали.csv
S40900;UNS, США;;США;csv:Ферритные стали.csv
1.4512;EN, Европа;;Европа;csv:Ферритные стали.csv
429;AISI, США;;США;csv:Ферритные стали.csv
S42900;UNS, США;;США;csv:Ферритные стали.csv
1.4510;EN, Европа;;Европа;csv:Ферритные стали.csv
430Ti;AISI, США;;США;csv:Ферритные стали.csv
S43036;UNS, США;;США;csv:Ферритные стали.csv
436;AISI, США;;США;csv:Ферритные стали.csv
S43600;UNS, США;;США;csv:Ферритные стали.csv
439;AISI, США;;США;csv:Ферритные стали.csv
S43035;UNS, США;;США;csv:Ферритные стали.csv
442;AISI, США;;США;csv:Ферритные стали.csv
S44200;UNS, США;;США;csv:Ферритные стали.csv
1.4762;EN, Европа;;Европа;csv:Ферритные стали.csv
444;AISI, США;;США;csv:Ферритные стали.csv
