grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
Ossenberg CRVL2;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,2;;;0,1;0;;;;;;;;;0;
1.4122X39CrMo17-1;;;Германия;marki_stalei_check;0,33-0,45;;;0;0;;;;;0,015;0,04;;;0;
LO-K 26951.2695;Lohmann, Германия;Lohmann;Германия;marki_stalei_check;1,2;;;1,5;2,4;;;;;;;;;0;
LO-K 2601D2;Lohmann, Германия;Lohmann;Германия;marki_stalei_check;1,6;;;0,2;0,45;;;;;;;;;0;
OCR12EXD2;Metal Ravne, Словения;Metal Ravne;Словения;marki_stalei_check;1,65;;;0,3;0,5;;;;;;;;;0;
ESMoD2;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,65;;;0,2;0,5;;;;;;;;;0;
LO-K 260473WCrMoV2-2;Lohmann, Германия;Lohmann;Германия;marki_stalei_check;0,7;;;0,2;0,6;;;;;;;;;0;
1.2206140CrV1;;;Германия;marki_stalei_check;1,35-1,45;;;0,10-0,15;0;;;;;0,025;0,025;;;0;
WO120140CrV1;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,4;;;0,1;0;;;;;;;;;0;
1.2004B5Cr1;;;Германия;marki_stalei_check;0,80-0,90;;;0;0;;;;;0,035;0,035;;;0;
SIhard S460OH255;SIJ Metal Ravne D.O.O., Словения;SIJ Metal Ravne D.O.O.;Словения;marki_stalei_check;1;;;0,3;0;;;;;;;;;0;
1.1750C75W;;;Германия;marki_stalei_check;0,72-0,82;;;0;0;;;;;0,035;0,035;;;0;
C70E2U1080;;;Франция;marki_stalei_check;0,75;;;0,03;0;;;;;0,01;0,012;;;0;
