grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
ЗлСрМ33.3-33.3,,Fe,,,,,,,,,,,,32.27-34.04,,,Fe 0-0.15; Pb 0-0.005; AG 32.8-33.8; Sb 0-0.005; BI 0-0.005; AU 33-33.6; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2589
ЗлСрМ37.5-10,,Fe,,,,,,,,,,,,51.37-53.14,,,Fe 0-0.15; Pb 0-0.005; AG 9.5-10.5; Sb 0-0.005; BI 0-0.005; AU 37.2-37.8; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2587
ЗлСрМ37.5-16,,Fe,,,,,,,,,,,,45.37-47.14,,,Fe 0-0.15; Pb 0-0.005; AG 15.5-16.5; Sb 0-0.005; BI 0-0.005; AU 37.2-37.8; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2588
ЗлСрМ37.5-2,,Fe,,,,,,,,,,,,59.37-61.14,,,Fe 0-0.15; Pb 0-0.005; AG 1.5-2.5; Sb 0-0.005; BI 0-0.005; AU 37.2-37.8; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2586
ЗлСрМ50-10,,Fe,,,,,,,,,,,,38.87-40.64,,,Fe 0-0.15; Pb 0-0.005; AG 9.5-10.5; Sb 0-0.005; BI 0-0.005; AU 49.7-50.3; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2584
ЗлСрМ50-20,,Fe,,,,,,,,,,,,28.87-30.64,,,Fe 0-0.15; Pb 0-0.005; AG 19.5-20.5; Sb 0-0.005; BI 0-0.005; AU 49.7-50.3; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2585
ЗлСрМ58.5-20,,Fe,,,,,,,,,,,,20.37-22.14,,,Fe 0-0.15; Pb 0-0.005; AG 19.5-20.5; Sb 0-0.005; BI 0-0.005; AU 58.2-58.8; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2582
ЗлСрМ58.5-30,,Fe,,,,,,,,,,,,10.37-12.14,,,Fe 0-0.15; Pb 0-0.005; AG 29.5-30.5; Sb 0-0.005; BI 0-0.005; AU 58.2-58.8; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2583
ЗлСрМ58.5-8,,Fe,,,,,,,,,,,,32.37-34.14,,,Fe 0-0.15; Pb 0-0.005; AG 7.5-8.5; Sb 0-0.005; BI 0-0.005; AU 58.2-58.8; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2581
ЗлСрМ583-200,,Fe,,,,,,,,,,,,21.1-22.3,,,Fe 0-0.15; Pb 0-0.005; AG 19.5-20.5; Sb 0-0.005; BI 0-0.005; AU 58-58.6; всего 0.16,,"ГОСТ 6835-80, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2647
ЗлСрМ583-300,,Fe,,,,,,,,,,,,11.2-12.2,,,Fe 0-0.15; Pb 0-0.005; AG 29.5-30.5; Sb 0-0.005; BI 0-0.005; AU 58-58.6; всего 0.16,,"ГОСТ 6835-80, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2646
ЗлСрМ583-80,,Fe,,,,,,,,,,,,32.9-34.5,,,Fe 0-0.15; Pb 0-0.005; AG 7.5-8.5; Sb 0-0.005; BI 0-0.005; AU 58-58.6; всего 0.16,,"ГОСТ 6835-80, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2648
ЗлСрМ75-12.5,,Fe,,,,,,,,,,,,11.37-13.14,,,Fe 0-0.15; Pb 0-0.005; AG 12-13; Sb 0-0.005; BI 0-0.005; AU 74.7-75.3; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2580
ЗлСрМ90-4,,Fe,,,,,,,,,,,,5.02-6.71,,,Fe 0-0.08; Pb 0-0.003; AG 3.5-4.5; Sb 0-0.003; BI 0-0.003; AU 89.7-90.3; всего 0.09,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2579
ЗлСрМ93-4.5,,Fe,,,,,,,,,,,,1.51-3.21,,,Fe 0-0.08; Pb 0-0.003; AG 4-5; Sb 0-0.003; BI 0-0.003; AU 92.7-93.3; всего 0.09,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2578
